goals,assists,shots_ontarget,shots_offtarget,chances2score,keypasses,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,tballs_acc,tballs_inacc,drib_success,drib_unsuccess,touches,poss_lost,tackles,interceptions,clearances,stop_shots,dribbled_past,aerials_w,aerials_l,grduels_w,grduels_l,fouls,wasfouled,ycards,rcards,dangmistakes,saves_itb,saves_otb,saved_pen,goals_ag_itb,goals_ag_otb,shotsblocked,countattack,offsides,missed_penalties,owngoals,minutesPlayed,game_duration,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Probability
0,0,0,0,0,0,6,1,0,0,4,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.999999999981668
0,0,0,0,0,0,33,5,0,0,3,2,0,0,0,0,48,11,3,2,5,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999928031258
0,0,0,0,0,0,33,5,0,0,3,2,0,0,0,0,48,11,3,2,5,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999928031258
0,0,0,0,0,0,33,5,0,0,3,2,0,0,0,0,48,11,3,2,5,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999928031258
0,0,0,0,0,0,33,5,0,0,3,2,0,0,0,0,48,11,3,2,5,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999928031258
0,0,0,0,0,0,28,8,2,2,5,2,0,1,1,0,63,13,1,4,2,0,0,2,4,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0.9999999996431939
0,0,0,0,0,0,28,8,2,2,5,2,0,1,1,0,63,13,1,4,2,0,0,2,4,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0.9999999996431939
0,0,0,0,0,0,28,8,2,2,5,2,0,1,1,0,63,13,1,4,2,0,0,2,4,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0.9999999996431939
0,0,0,0,0,0,28,8,2,2,5,2,0,1,1,0,63,13,1,4,2,0,0,2,4,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0.9999999996431939
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999888722187
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999888722187
0,0,0,2,1,0,13,2,0,1,3,0,0,0,0,0,38,10,3,0,4,0,2,3,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,2,2,-1,4,1.0
0,0,0,2,1,0,13,2,0,1,3,0,0,0,0,0,38,10,3,0,4,0,2,3,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,2,2,-1,4,1.0
0,0,0,2,1,0,13,2,0,1,3,0,0,0,0,0,38,10,3,0,4,0,2,3,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,2,2,-1,4,1.0
